symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
OMI,2016-12-31,False,FY,2016,10-K,9723431000.0,199599000.0,107640000.0,1.76,1.76,1.022,2717752000.0,1962039000.0,1034638000.0,185488000.0,960038000.0,186934000.0,-24746000.0,-141943000.0
PCG,2016-12-31,False,FY,2016,10-K,17666000000.0,2177000000.0,1393000000.0,2.79,2.78,0.0,68598000000.0,6164000000.0,7564000000.0,177000000.0,18192000000.0,4409000000.0,-5526000000.0,1171000000.0
PSXP,2016-12-31,False,FY,2016,10-K,31000000.0,,408000000.0,,,0.0,4109000000.0,100000000.0,111000000.0,2000000.0,,492000000.0,-1558000000.0,1018000000.0
PSX,2016-12-31,False,FY,2016,10-K,84279000000.0,,1549000000.0,2.94,2.92,2.45,51653000000.0,12680000000.0,9463000000.0,2711000000.0,23725000000.0,2963000000.0,-3158000000.0,-178000000.0
PES,2016-12-31,False,FY,2016,10-K,277076000.0,-113448000.0,-128391000.0,-1.96,-1.96,0.0,700102000.0,113996000.0,66002000.0,10194000.0,281398000.0,5131000.0,-24767000.0,15670000.0
PXD,2016-12-31,False,FY,2016,10-K,3824000000.0,,-556000000.0,-3.34,-3.34,0.08,16459000000.0,3298000000.0,1566000000.0,1118000000.0,10411000000.0,1498000000.0,-3820000000.0,2049000000.0
POL,2016-12-31,False,FY,2016,10-K,3339800000.0,281900000.0,165200000.0,1.97,1.95,0.495,2723300000.0,949500000.0,509600000.0,226700000.0,725500000.0,221300000.0,-235400000.0,-34000000.0
PII,2016-12-31,False,FY,2016,10-K,4516629000.0,350278000.0,212948000.0,3.31,3.27,2.2,3099597000.0,1190989000.0,959751000.0,127325000.0,867040000.0,571783000.0,-909258000.0,314493000.0
PPG,2016-12-31,False,FY,2016,10-K,14751000000.0,2409000000.0,877000000.0,3.3,3.28,1.56,15769000000.0,6452000000.0,4240000000.0,1820000000.0,4913000000.0,1325000000.0,436000000.0,-1184000000.0
POR,2016-12-31,False,FY,2016,10-K,1923000000.0,333000000.0,193000000.0,2.17,2.16,1.26,7527000000.0,463000000.0,577000000.0,6000000.0,2344000000.0,553000000.0,-585000000.0,34000000.0
